"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"71","225.88048632853418","141.5486524059992","0.4833984375","0.310546875","0.65625","1560","0.00025457747802986946","24","0.00025457747802986946","0","0.00025457747802986946","0.00025457747802986946","72:68;58:68;70:68","58:0.002359681957729537;70:0.0032163530370110938","72:0.22733192209175193;58:0.003063772223725253;70:0.003727936374335078","0.4833984375","Yes"
"72","10.459335419923361","99.15649886504495","0.482666015625","0.3642578125","0.60107421875","1560","","24","","0","","","73:68;71:68","","73:0.053263326754075996;71:0.22733192209175193","0.482666015625","Yes"
"73","204.93377741788495","71.93389550420285","0.486083984375","0.431640625","0.54052734375","1560","0.00020452919206503332","24","0.00020452919206503332","0","0.00020452919206503332","0.00020452919206503332","72:68;74:68;79:68","74:0.002139000399839802;79:0.002328492820108885","72:0.053263326754075996;74:0.0025936108373551536;79:0.011732514811339911","0.486083984375","Yes"
"74","139.5204386941725","126.26871769244629","0.47705078125","0.31689453125","0.63720703125","1560","0.0005037483831756225","24","0.0005037483831756225","0","0.0005037483831756225","0.0005037483831756225","73:68;75:68","73:0.002139000399839802;75:0.002490910958886483","73:0.0025936108373551536;75:0.004962434167595009","0.47705078125","Yes"
"75","175.1636167638781","161.61917274114293","0.4775390625","0.43408203125","0.52099609375","1560","0.00039345534275077917","24","0.00039345534275077917","0","0.00039345534275077917","0.00039345534275077917","59:68;74:68","59:0.0022823821197547334;74:0.002490910958886483","59:0.0032973773111551197;74:0.004962434167595009","0.4775390625","Yes"
"76","156.34141065647964","88.36762955045411","0.4658203125","0.486328125","0.4453125","1560","0.00048713406122462695","24","0.00048713406122462695","0","0.00048713406122462695","0.00048713406122462695","81:68;61:68","81:0.0018243302247716864;61:0.002517969436946571","81:0.0030407458974100743;61:0.0037582665665849","0.4658203125","Yes"
"77","134.09487825402329","49.519092620601945","0.5078125","0.44287109375","0.57275390625","1560","0.0003039265008116583","24","0.0003039265008116583","0","0.0003039265008116583","0.0003039265008116583","85:68;65:68","85:0.004591963846369701;65:0.0034917956691545016","85:0.003122944423966101;65:0.0037708032694146187","0.5078125","Yes"
"78","112.63457518205223","98.39030659170616","0.48828125","0.45458984375","0.52197265625","1560","0.0003646953446285456","24","0.0003646953446285456","0","0.0003646953446285456","0.0003646953446285456","69:68;89:68","69:0.0031099621911997166;89:0.004634562082955762","69:0.0025700898449769194;89:0.0034574949905133157","0.48828125","Yes"
"79","119.90860276102502","51.75379109909541","0.49462890625","0.45458984375","0.53466796875","1560","0.00036059960019398937","24","0.00036059960019398937","0","0.00036059960019398937","0.00036059960019398937","93:68;73:68","93:0.0025330250314290204;73:0.002328492820108885","93:0.0028070309961201745;73:0.011732514811339911","0.49462890625","Yes"
"80","158.343303009515","154.388479967571","0.498291015625","0.44189453125","0.5546875","1560","0.00032025604657946976","24","0.00032025604657946976","0","0.00032025604657946976","0.00032025604657946976","81:68","81:0.0018446723916277497","81:0.0036292153679936823","0.498291015625","Yes"
"81","145.162679326653","22.282955477602393","0.451171875","0.43408203125","0.46826171875","1560","0.00016065052865073956","24","0.00016065052865073956","0","0.00016065052865073956","0.00016065052865073956","80:68;82:68;76:68","80:0.0018446723916277497;82:0.004142012872419887;76:0.0018243302247716864","80:0.0036292153679936823;82:0.0022663432143519846;76:0.0030407458974100743","0.451171875","Yes"
"82","132.30637220291626","32.4494600915907","0.51318359375","0.31982421875","0.70654296875","1560","0.00025787380160087795","24","0.00025787380160087795","0","0.00025787380160087795","0.00025787380160087795","81:68;83:68","81:0.004142012872419887;83:0.025078198681771025","81:0.0022663432143519846;83:0.0029997123097054157","0.51318359375","Yes"
"83","174.52320535007814","31.854067588339436","0.474853515625","0.4443359375","0.50537109375","1560","0.00018490865541465206","24","0.00018490865541465206","0","0.00018490865541465206","0.00018490865541465206","96:68;82:68;84:68","96:0.002410732651921932;82:0.025078198681771025;84:0.0031932289182692586","96:0.0032543329708325797;82:0.0029997123097054157;84:0.0027587450755011123","0.474853515625","Yes"
"84","169.18810988831777","123.26278083727777","0.488525390625","0.37353515625","0.603515625","1560","0.0002538263034869999","24","0.0002538263034869999","0","0.0002538263034869999","0.0002538263034869999","83:68;85:68","83:0.0031932289182692586;85:0.00432881593351811","83:0.0027587450755011123;85:0.0039526213606422556","0.488525390625","Yes"
